ForwardLength_max,ForwardLength_min,ForwardLength_sd,ForwardLength_avg,ForwardTime_max,ForwardTime_min,ForwardTime_sd,ForwardTime_avg,BackwardLength_max,BackwardLength_min,BackwardLength_sd,BackwardLength_avg,BackwardTime_max,BackwardTime_min,BackwardTime_sd,BackwardTime_avg,VPN
312,180,62.22539674,268,0.009586,0.000647,0.004208944,0.003633667,1454,202,489.9030057,1118.529412,0.070668,2.00E-06,0.017098478,0.007417412,0
310,180,61.2825877,266.6666667,0.011118,0.000683,0.00490339,0.004183667,1454,60,528.5484943,1168.230769,0.094909,1.00E-06,0.015879327,0.004323538,0
1454,188,546.6120082,507.25,0.014699,0,0.005996601,0.005496,1454,91,588.0934355,635.6666667,30.053197,1.00E-06,11.19692537,5.016127167,0
1454,188,546.6120082,507.25,0.026897,0,0.011170262,0.00770375,1454,91,591.6287312,627.6666667,30.043232,1.00E-06,11.19331106,5.014244167,0
309,180,60.81118318,266,0.009635,0.000416,0.004341877,0.003494667,1454,60,606.5377442,986.3181818,0.006626,1.00E-06,0.001761552,0.000920682,0
312,180,62.22539674,268,0.00963,0.000581,0.004121921,0.003812667,1454,194,545.2978883,960.4615385,0.112732,4.00E-06,0.029549833,0.012596077,0
135,135,0,135,0,0,0,0,119,119,0,119,0.01514,0.01514,0,0.01514,0
310,180,61.2825877,266.6666667,0.010358,0.000419,0.00462681,0.003816333,1454,60,559.6201301,1112.9,0.088209,1.00E-06,0.014705939,0.004004375,0
309,180,60.81118318,266,0.00998,0.000433,0.004420981,0.003731,1454,60,614.7802813,879.4137931,0.003362,1.00E-06,0.000712868,0.000401138,0
312,180,62.22539674,268,0.011091,0.000652,0.004889252,0.004177,1454,88,550.5966198,1043.928571,0.039812,1.00E-06,0.011359503,0.006494714,0
310,180,61.2825877,266.6666667,0.010055,0.000755,0.004376539,0.003865667,1454,60,540.1461097,1140.641026,0.088292,1.00E-06,0.014402956,0.003556641,0
309,180,60.81118318,266,0.010017,0.000646,0.004374122,0.003832,1454,60,605.5139201,983.7272727,0.083382,1.00E-06,0.023577116,0.008363045,0
312,180,62.22539674,268,0.013002,0.000609,0.005659807,0.005011667,1454,115,584.7387117,918.1538462,0.024338,2.00E-06,0.008421258,0.005859769,0
310,180,61.2825877,266.6666667,0.010105,0.000747,0.0043999,0.003882667,1454,60,552.3187884,1123.829268,0.088845,1.00E-06,0.0139808,0.00322439,0
309,180,60.81118318,266,0.010591,0.00066,0.00466674,0.003991333,1454,60,610.9806731,897.6363636,0.009332,1.00E-06,0.001771132,0.000663758,0
571,85,174.0317212,281.4,0.029937,4.90E-05,0.011570383,0.0068308,1354,85,541.6212289,610.3333333,0.004878,6.00E-06,0.001828214,0.001906833,0
312,180,62.22539674,268,0.008343,0.000606,0.003514382,0.003385,1454,194,496.9016897,1138.727273,0.008655,1.00E-06,0.002575805,0.001320909,0
373,85,100.7055113,224,0.029524,5.30E-05,0.011375919,0.0068244,1354,85,468.5673484,449.2,0.033164,8.00E-06,0.015728891,0.013211,0
309,180,60.81118318,266,0.01008,0.000661,0.004426318,0.003820333,1454,60,602.6753362,905.2903226,0.003582,1.00E-06,0.000971289,0.000429774,0
310,180,61.2825877,266.6666667,0.00964,0.000453,0.004284431,0.003582,1454,60,528.3527464,1167.128205,0.088416,1.00E-06,0.014872226,0.004300051,0
312,180,62.22539674,268,0.009536,0.000662,0.004015706,0.003874,1454,88,595.7688077,869.1666667,0.019729,2.00E-06,0.006518668,0.004913083,0
309,180,60.81118318,266,0.009955,0.000667,0.00437558,0.003767,1454,60,601.4504249,964.7241379,0.004367,0,0.00083095,0.000238172,0
310,180,61.2825877,266.6666667,0.010119,0.000789,0.004366041,0.003945,1454,60,539.924613,1140.230769,0.062824,2.00E-06,0.010710833,0.003700077,0
312,180,62.22539674,268,0.009583,0.000618,0.00407016,0.003841333,1454,194,543.1598968,995.5714286,0.059311,2.00E-06,0.015737633,0.007866214,0
309,180,60.81118318,266,0.010048,0.000669,0.004404897,0.003818667,1454,60,604.0660129,917.1034483,0.006921,0,0.001484108,0.000663966,0
310,180,61.2825877,266.6666667,0.010271,0.000706,0.00447083,0.003949,1454,60,566.0804352,1084.540541,0.06205,1.00E-06,0.011168435,0.00324873,0
312,180,62.22539674,268,0.010259,0.000615,0.004410122,0.004032,1454,312,495.8198653,1081.454545,0.022461,1.00E-06,0.006640458,0.003183,0
309,180,60.81118318,266,0.00932,0.000528,0.004057988,0.003585333,1454,60,613.7312807,877.90625,0.00343,1.00E-06,0.000827036,0.000402188,0
310,180,61.2825877,266.6666667,0.010041,0.00061,0.004395561,0.003826,1454,60,534.5303026,1146.175,0.059217,1.00E-06,0.011673129,0.0042993,0
312,180,62.22539674,268,0.010108,0.000555,0.004321813,0.004014667,1454,192,554.1749238,958,0.022603,1.00E-06,0.007844801,0.004774,0
309,180,60.81118318,266,0.008882,0.000449,0.003550401,0.004052,1454,60,601.8180624,903.7096774,0.002389,1.00E-06,0.000507763,0.000241839,0
310,180,61.2825877,266.6666667,0.010064,0.000899,0.00430495,0.003976,1454,60,572.9858356,1074.194444,0.105382,1.00E-06,0.017950157,0.004797,0
312,180,62.22539674,268,0.009904,0.000715,0.004158668,0.004040333,1454,88,517.4834688,1051.636364,0.02683,1.00E-06,0.009217123,0.006552273,0
309,180,60.81118318,266,0.009523,0.000632,0.004183032,0.003607333,1454,60,604.2753199,934.2666667,0.005601,1.00E-06,0.001170023,0.000481667,0
310,180,61.2825877,266.6666667,0.009919,0.000497,0.004357869,0.003759667,1454,60,544.23449,1131.368421,0.060762,1.00E-06,0.011470923,0.004176079,0
312,180,62.22539674,268,0.009383,0.000574,0.00399722,0.003744667,1454,88,543.4979757,951.3636364,0.11025,7.00E-06,0.031124679,0.014093091,0
309,180,60.81118318,266,0.009579,0.00065,0.004203056,0.003635,1454,60,597.3445678,1001.862069,0.004677,1.00E-06,0.000951248,0.000500759,0
310,180,61.2825877,266.6666667,0.009997,0.000655,0.004391656,0.003786333,1454,60,538.5471214,1136.846154,0.059555,0,0.01085024,0.003913897,0
312,180,62.22539674,268,0.010109,0.000543,0.004351355,0.003969,1454,312,479.4900312,1079.9,0.115791,1.00E-06,0.034498887,0.0125738,0
309,180,60.81118318,266,0.011731,0.000414,0.005282879,0.004261,1454,60,612.1451016,951.7096774,0.003736,0,0.000768737,0.000362,0
310,180,61.2825877,266.6666667,0.010062,0.000491,0.004403038,0.003841333,1454,60,553.7518574,1123.04878,0.088817,2.00E-06,0.014276733,0.003812707,0
1454,91,516.4784603,424,0.015573,1.00E-06,0.005993516,0.004199,1454,91,588.0934355,635.6666667,29.99912,8.00E-06,11.17681684,5.0070145,0
1454,91,516.4784603,424,0.024171,0,0.009393086,0.0055182,1454,91,591.6287312,627.6666667,29.999875,6.00E-06,11.17719114,5.006933833,0
312,180,62.22539674,268,0.008144,0.000834,0.003319163,0.003461667,1454,88,519.9524454,1053,0.018411,1.00E-06,0.00628344,0.005018091,0
309,180,60.81118318,266,0.010085,0.000662,0.004439219,0.003807,1454,60,602.9349704,905.7419355,0.004274,0,0.001076747,0.000461839,0
310,180,61.2825877,266.6666667,0.010055,0.000513,0.00441818,0.00381,1454,60,553.119926,1123.390244,0.088909,2.00E-06,0.013681281,0.003170317,0
312,180,62.22539674,268,0.010088,0.000559,0.004307291,0.004016,1454,60,587.2899189,981.8666667,0.024778,1.00E-06,0.007849558,0.0045916,0
309,180,60.81118318,266,0.010046,0.00067,0.004401154,0.003822,1454,60,616.7581599,922.6896552,0.126244,1.00E-06,0.023375119,0.006157241,0
310,180,61.2825877,266.6666667,0.010194,0.000276,0.00454936,0.003768333,1454,60,568.2445169,1095.105263,0.061027,1.00E-06,0.011707618,0.004347842,0
998,97,330.8361528,435.8,0.064049,0.000596,0.025142426,0.0137688,921,97,332.7025699,370,0.022038,5.00E-06,0.009956741,0.01136975,0
312,180,62.22539674,268,0.009626,0.000566,0.004128771,0.003798667,1454,312,355.9557401,1309.333333,0.031317,1.00E-06,0.007934302,0.003443,0
309,180,60.81118318,266,0.010108,0.000754,0.004406927,0.003875667,1454,60,601.5401197,926.4666667,0.00446,1.00E-06,0.001242352,0.0006224,0
310,180,61.2825877,266.6666667,0.010983,0.000692,0.004803406,0.004191,1454,60,543.9693186,1112.138889,0.100566,0,0.01679675,0.0037435,0
